Model,Accuracy (%),F1 Score (%),Recall (%),CV Score (%),Confianza (%),Error (%)
K-Nearest Neighbors,37.83783783783784,34.51710880772666,37.83783783783784,38.91891891891892,37.83783783783784,62.16216216216216
Random Forest,60.810810810810814,59.51989451989452,60.810810810810814,56.35135135135136,60.810810810810814,39.189189189189186
Decision Tree,57.432432432432435,57.22522497708076,57.432432432432435,55.13513513513513,57.432432432432435,42.567567567567565
