Model,Accuracy (%),F1 Score (%),Recall (%),CV Score (%),Confianza (%),Error (%)
K-Nearest Neighbors,50.67567567567568,45.75470260252869,50.67567567567568,51.081081081081095,50.67567567567568,49.32432432432432
Random Forest,60.13513513513513,56.67922167922168,60.13513513513513,59.05405405405405,60.13513513513513,39.86486486486487
Decision Tree,58.108108108108105,54.65946872196872,58.108108108108105,58.91891891891892,58.108108108108105,41.891891891891895
