Model,Accuracy (%),F1 Score (%),Recall (%),CV Score (%),Confianza (%),Error (%)
K-Nearest Neighbors,16.89189189189189,15.047486770175848,16.89189189189189,15.270270270270267,16.89189189189189,83.10810810810811
Random Forest,34.45945945945946,32.94503045277039,34.45945945945946,32.027027027027025,34.45945945945946,65.54054054054055
Decision Tree,32.432432432432435,31.51072801390935,32.432432432432435,30.945945945945947,32.432432432432435,67.56756756756756
