Model,Accuracy (%),F1 Score (%),Recall (%),CV Score (%),Confianza (%),Error (%)
K-Nearest Neighbors,32.432432432432435,25.312926399882922,32.432432432432435,31.351351351351354,32.432432432432435,67.56756756756756
Random Forest,34.45945945945946,24.450466950466947,34.45945945945946,35.13513513513513,34.45945945945946,65.54054054054055
Decision Tree,32.432432432432435,22.977118602118605,32.432432432432435,35.135135135135144,32.432432432432435,67.56756756756756
